order_id,assigned,created,delivered,picked,city,service_type,pickup_lat,pickup_lon,drop_lat,drop_lon,created_at,promised_at,delivered_at,distance_km,eta_minutes,is_late,pickup_hour,temp_c,rain_mm,wind_kmph
O1009,2025-07-06 10:02:00,2025-07-06 10:00:00,2025-07-06 10:05:00,2025-07-06 10:09:00,LHR,food,31.56852,74.33021,31.607306202931124,74.34109514697685,2025-07-06 10:00:00,2025-07-06 10:30:00,2025-07-06 10:05:00,4.28,3.1,0,2025-07-06 10:00:00,26.2,1.22,13
O101,2025-07-01 17:06:00,2025-07-01 17:04:00,2025-07-01 17:25:00,2025-07-01 17:14:00,ISB,parcel,33.73218,73.0139,33.77207190230239,73.02581655471654,2025-07-01 17:04:00,2025-07-01 17:44:00,2025-07-01 17:25:00,10.96,21.8,0,2025-07-01 17:00:00,29.7,0.0,12
O1010,2025-07-06 20:08:00,2025-07-06 20:07:00,2025-07-06 20:33:00,2025-07-06 20:14:00,LHR,food,31.46714,74.30493,31.477193345579632,74.32788398522983,2025-07-06 20:07:00,2025-07-06 21:07:00,2025-07-06 20:33:00,14.6,26.9,0,2025-07-06 20:00:00,30.7,0.0,5
O1011,2025-07-06 13:47:00,2025-07-06 13:45:00,2025-07-06 14:21:00,2025-07-06 13:53:00,LHR,grocery,31.52752,74.27134,31.55897718183593,74.31475449416715,2025-07-06 13:45:00,2025-07-06 14:25:00,2025-07-06 14:21:00,10.86,36.7,0,2025-07-06 13:00:00,24.3,0.0,8
O1012,2025-07-06 12:50:00,2025-07-06 12:47:00,2025-07-06 12:53:00,2025-07-06 12:56:00,KHI,parcel,24.86964,67.00301,24.885279173479606,67.04016385540116,2025-07-06 12:47:00,2025-07-06 13:27:00,2025-07-06 12:53:00,2.61,6.8,0,2025-07-06 12:00:00,42.6,0.0,2
O1013,2025-07-06 17:42:00,2025-07-06 17:40:00,2025-07-06 18:01:00,2025-07-06 17:51:00,LHR,food,31.46892,74.29373,31.50820393023205,74.33106554532573,2025-07-06 17:40:00,2025-07-06 18:25:00,2025-07-06 18:01:00,10.43,21.9,0,2025-07-06 17:00:00,25.4,0.0,4
O1014,2025-07-06 10:52:00,2025-07-06 10:49:00,2025-07-06 11:33:00,2025-07-06 10:58:00,ISB,parcel,33.68475,73.03291,33.717607546059284,73.0527300724411,2025-07-06 10:49:00,2025-07-06 11:29:00,2025-07-06 11:33:00,12.65,44.6,1,2025-07-06 10:00:00,26.2,0.0,8
O1015,2025-07-06 20:41:00,2025-07-06 20:40:00,2025-07-06 20:55:00,2025-07-06 20:47:00,KHI,food,24.92945,67.0625,24.96920461123553,67.1067549639286,2025-07-06 20:40:00,2025-07-06 21:20:00,2025-07-06 20:55:00,6.5,15.4,0,2025-07-06 20:00:00,32.2,0.0,9
O1016,2025-07-06 17:43:00,2025-07-06 17:39:00,2025-07-06 17:51:00,2025-07-06 17:51:00,KHI,grocery,24.92493,67.00665,24.947266843553148,67.0438263423038,2025-07-06 17:39:00,2025-07-06 18:24:00,2025-07-06 17:51:00,7.11,12.1,0,2025-07-06 17:00:00,37.2,0.0,7
O1017,2025-07-06 11:17:00,2025-07-06 11:16:00,2025-07-06 11:21:00,2025-07-06 11:25:00,LHR,food,31.52526,74.34012,31.54569340651216,74.3848331400866,2025-07-06 11:16:00,2025-07-06 11:46:00,2025-07-06 11:21:00,1.28,5.5,0,2025-07-06 11:00:00,23.7,0.0,14
O1018,2025-07-06 17:40:00,2025-07-06 17:36:00,2025-07-06 17:52:00,2025-07-06 17:46:00,LHR,grocery,31.48462,74.3291,31.518274325693053,74.34829322110933,2025-07-06 17:36:00,2025-07-06 18:06:00,2025-07-06 17:52:00,6.69,16.8,0,2025-07-06 17:00:00,25.4,0.0,4
O1019,2025-07-06 16:19:00,2025-07-06 16:17:00,2025-07-06 16:53:00,2025-07-06 16:24:00,KHI,grocery,24.92186,67.07147,24.96596919861114,67.09135580280122,2025-07-06 16:17:00,2025-07-06 17:17:00,2025-07-06 16:53:00,13.0,37.0,0,2025-07-06 16:00:00,29.6,0.0,10
O102,2025-07-01 17:20:00,2025-07-01 17:16:00,2025-07-01 17:35:00,2025-07-01 17:27:00,ISB,parcel,33.74749,73.04111,33.77527851107433,73.07417179959805,2025-07-01 17:16:00,2025-07-01 18:16:00,2025-07-01 17:35:00,4.38,19.2,0,2025-07-01 17:00:00,29.7,0.0,12
O1020,2025-07-06 09:18:00,2025-07-06 09:17:00,2025-07-06 09:44:00,2025-07-06 09:25:00,ISB,food,33.73993,73.09699,33.77530812559022,73.1375522235941,2025-07-06 09:17:00,2025-07-06 09:57:00,2025-07-06 09:44:00,10.22,27.5,0,2025-07-06 09:00:00,25.9,0.0,12
O1021,2025-07-06 09:36:00,2025-07-06 09:33:00,2025-07-06 09:49:00,2025-07-06 09:41:00,KHI,grocery,24.93087,67.1315,24.968901181581888,67.1677289789837,2025-07-06 09:33:00,2025-07-06 10:13:00,2025-07-06 09:49:00,6.12,16.2,0,2025-07-06 09:00:00,27.3,0.0,8
O1022,2025-07-06 15:42:00,2025-07-06 15:38:00,2025-07-06 15:58:00,2025-07-06 15:50:00,KHI,parcel,24.9407,67.1086,24.972739569779847,67.14941652059586,2025-07-06 15:38:00,2025-07-06 16:08:00,2025-07-06 15:58:00,11.23,21.0,0,2025-07-06 15:00:00,33.8,0.67,11
O1023,2025-07-06 08:41:00,2025-07-06 08:38:00,2025-07-06 09:11:00,2025-07-06 08:46:00,ISB,food,33.71869,73.04593,33.75131002925422,73.08369264299424,2025-07-06 08:38:00,2025-07-06 09:08:00,2025-07-06 09:11:00,13.54,34.0,1,2025-07-06 08:00:00,26.3,0.0,9
O1024,2025-07-06 12:06:00,2025-07-06 12:05:00,2025-07-06 12:12:00,2025-07-06 12:12:00,KHI,parcel,24.94272,67.09559,24.98422807530796,67.13358076173925,2025-07-06 12:05:00,2025-07-06 12:35:00,2025-07-06 12:12:00,2.0,7.2,0,2025-07-06 12:00:00,42.6,0.0,2
O1025,2025-07-06 18:05:00,2025-07-06 18:03:00,2025-07-06 18:46:00,2025-07-06 18:14:00,KHI,grocery,24.87153,67.04684,24.892930716370383,67.0860612852348,2025-07-06 18:03:00,2025-07-06 18:33:00,2025-07-06 18:46:00,11.01,43.9,1,2025-07-06 18:00:00,30.7,0.0,11
O1026,2025-07-06 17:22:00,2025-07-06 17:21:00,2025-07-06 17:30:00,2025-07-06 17:27:00,KHI,food,24.91563,67.02142,24.933829197728173,67.05885646422881,2025-07-06 17:21:00,2025-07-06 18:21:00,2025-07-06 17:30:00,3.85,9.9,0,2025-07-06 17:00:00,37.2,0.0,7
O1027,2025-07-06 20:35:00,2025-07-06 20:34:00,2025-07-06 21:00:00,2025-07-06 20:42:00,ISB,food,33.6888,73.04916,33.71060988218052,73.08992374692787,2025-07-06 20:34:00,2025-07-06 21:04:00,2025-07-06 21:00:00,11.21,26.9,0,2025-07-06 20:00:00,28.2,0.0,9
O1028,2025-07-06 09:16:00,2025-07-06 09:13:00,2025-07-06 09:36:00,2025-07-06 09:24:00,LHR,parcel,31.50656,74.25081,31.546905503356548,74.28584546577322,2025-07-06 09:13:00,2025-07-06 10:13:00,2025-07-06 09:36:00,7.38,23.3,0,2025-07-06 09:00:00,24.8,0.0,11
O1029,2025-07-06 13:58:00,2025-07-06 13:54:00,2025-07-06 14:18:00,2025-07-06 14:06:00,ISB,grocery,33.67537,73.04939,33.71011749398848,73.06201363458659,2025-07-06 13:54:00,2025-07-06 14:34:00,2025-07-06 14:18:00,8.61,24.9,0,2025-07-06 13:00:00,25.4,0.0,11
O103,2025-07-01 17:54:00,2025-07-01 17:50:00,2025-07-01 18:04:00,2025-07-01 18:00:00,ISB,parcel,33.65886,73.06769,33.671423788441444,73.101535705982,2025-07-01 17:50:00,2025-07-01 18:50:00,2025-07-01 18:04:00,3.95,14.8,0,2025-07-01 17:00:00,29.7,0.0,12
O1030,2025-07-06 21:24:00,2025-07-06 21:20:00,2025-07-06 21:51:00,2025-07-06 21:32:00,KHI,food,24.84381,67.08922,24.854909715585272,67.10180801322015,2025-07-06 21:20:00,2025-07-06 22:00:00,2025-07-06 21:51:00,10.21,31.1,0,2025-07-06 21:00:00,36.4,0.0,6
O1031,2025-07-06 19:28:00,2025-07-06 19:24:00,2025-07-06 19:55:00,2025-07-06 19:33:00,KHI,parcel,24.83524,67.06637,24.851458091686258,67.10020766382924,2025-07-06 19:24:00,2025-07-06 20:04:00,2025-07-06 19:55:00,5.67,31.4,0,2025-07-06 19:00:00,30.1,0.0,5
O1032,2025-07-06 10:49:00,2025-07-06 10:45:00,2025-07-06 11:13:00,2025-07-06 10:56:00,KHI,grocery,24.80402,67.01379,24.84145716882833,67.0409487992287,2025-07-06 10:45:00,2025-07-06 11:30:00,2025-07-06 11:13:00,10.73,28.4,0,2025-07-06 10:00:00,29.3,0.0,11
O1033,2025-07-06 16:56:00,2025-07-06 16:52:00,2025-07-06 17:27:00,2025-07-06 17:01:00,LHR,food,31.4856,74.29376,31.529843813289457,74.31045691790986,2025-07-06 16:52:00,2025-07-06 17:22:00,2025-07-06 17:27:00,13.2,35.4,1,2025-07-06 16:00:00,26.9,0.0,9
O1034,2025-07-06 10:05:00,2025-07-06 10:01:00,2025-07-06 10:09:00,2025-07-06 10:11:00,ISB,grocery,33.69043,73.07847,33.73302468059862,73.12556330460696,2025-07-06 10:01:00,2025-07-06 11:01:00,2025-07-06 10:09:00,4.43,8.3,0,2025-07-06 10:00:00,26.2,0.0,8
O1035,2025-07-06 14:47:00,2025-07-06 14:43:00,2025-07-06 14:56:00,2025-07-06 14:54:00,KHI,parcel,24.88314,67.10003,24.930345622135505,67.13752106446883,2025-07-06 14:43:00,2025-07-06 15:13:00,2025-07-06 14:56:00,3.78,13.8,0,2025-07-06 14:00:00,34.9,0.0,6
O1036,2025-07-06 18:36:00,2025-07-06 18:33:00,2025-07-06 19:23:00,2025-07-06 18:42:00,KHI,food,24.82915,67.02424,24.84741448322724,67.05459363392522,2025-07-06 18:33:00,2025-07-06 19:18:00,2025-07-06 19:23:00,14.13,50.5,1,2025-07-06 18:00:00,30.7,0.0,11
O1037,2025-07-06 16:38:00,2025-07-06 16:35:00,2025-07-06 16:47:00,2025-07-06 16:44:00,LHR,grocery,31.58114,74.25596,31.603849221864703,74.30560606580593,2025-07-06 16:35:00,2025-07-06 17:15:00,2025-07-06 16:47:00,2.84,12.9,0,2025-07-06 16:00:00,26.9,0.0,9
O1038,2025-07-06 12:25:00,2025-07-06 12:21:00,2025-07-06 12:36:00,2025-07-06 12:34:00,ISB,parcel,33.74841,73.0187,33.79300215234961,73.04431693304775,2025-07-06 12:21:00,2025-07-06 13:21:00,2025-07-06 12:36:00,4.68,15.2,0,2025-07-06 12:00:00,32.3,0.0,2
O1039,2025-07-06 12:17:00,2025-07-06 12:16:00,2025-07-06 12:45:00,2025-07-06 12:22:00,KHI,grocery,24.81969,67.14109,24.86568572214531,67.16501304311605,2025-07-06 12:16:00,2025-07-06 12:46:00,2025-07-06 12:45:00,10.86,29.7,0,2025-07-06 12:00:00,42.6,0.0,2
O104,2025-07-01 10:03:00,2025-07-01 10:02:00,2025-07-01 10:07:00,2025-07-01 10:09:00,KHI,grocery,24.86261,67.04645,24.910123031999404,67.08353579866686,2025-07-01 10:02:00,2025-07-01 10:32:00,2025-07-01 10:07:00,1.96,-0.9,0,2025-07-01 10:00:00,30.3,0.0,13
O1040,2025-07-06 19:56:00,2025-07-06 19:55:00,2025-07-06 20:21:00,2025-07-06 20:02:00,ISB,parcel,33.65527,73.01417,33.68919995171517,73.0489352620348,2025-07-06 19:55:00,2025-07-06 20:25:00,2025-07-06 20:21:00,6.56,26.2,0,2025-07-06 19:00:00,25.4,0.88,11
O1041,2025-07-06 11:39:00,2025-07-06 11:37:00,2025-07-06 12:15:00,2025-07-06 11:46:00,LHR,parcel,31.52259,74.33141,31.570745802555912,74.3506225870156,2025-07-06 11:37:00,2025-07-06 12:37:00,2025-07-06 12:15:00,12.91,38.3,0,2025-07-06 11:00:00,23.7,0.0,14
O1042,2025-07-06 20:00:00,2025-07-06 19:58:00,2025-07-06 20:11:00,2025-07-06 20:06:00,KHI,food,24.89184,67.04284,24.92798248887832,67.07906263603827,2025-07-06 19:58:00,2025-07-06 20:28:00,2025-07-06 20:11:00,2.4,13.4,0,2025-07-06 19:00:00,30.1,0.0,5
O1043,2025-07-06 16:43:00,2025-07-06 16:40:00,2025-07-06 16:51:00,2025-07-06 16:51:00,KHI,grocery,24.91609,67.14577,24.94044739041012,67.17198078280931,2025-07-06 16:40:00,2025-07-06 17:25:00,2025-07-06 16:51:00,3.24,11.3,0,2025-07-06 16:00:00,29.6,0.0,10
O1044,2025-07-06 11:55:00,2025-07-06 11:53:00,2025-07-06 12:07:00,2025-07-06 12:02:00,ISB,grocery,33.73216,73.09726,33.74448951130843,73.11350709321765,2025-07-06 11:53:00,2025-07-06 12:33:00,2025-07-06 12:07:00,10.57,15.0,0,2025-07-06 11:00:00,22.0,0.0,3
O1045,2025-07-06 10:35:00,2025-07-06 10:32:00,2025-07-06 10:46:00,2025-07-06 10:44:00,ISB,grocery,33.71397,73.05701,33.72848612844243,73.10336638817896,2025-07-06 10:32:00,2025-07-06 11:12:00,2025-07-06 10:46:00,3.07,14.3,0,2025-07-06 10:00:00,26.2,0.0,8
O1046,2025-07-06 20:54:00,2025-07-06 20:50:00,2025-07-06 21:05:00,2025-07-06 20:59:00,KHI,food,24.90256,67.03426,24.92948057784967,67.06655380258866,2025-07-06 20:50:00,2025-07-06 21:30:00,2025-07-06 21:05:00,5.56,15.2,0,2025-07-06 20:00:00,32.2,0.0,9
O1047,2025-07-06 16:52:00,2025-07-06 16:48:00,2025-07-06 16:57:00,2025-07-06 17:00:00,LHR,parcel,31.46648,74.29247,31.4771914056505,74.30381236726589,2025-07-06 16:48:00,2025-07-06 17:28:00,2025-07-06 16:57:00,5.17,9.9,0,2025-07-06 16:00:00,26.9,0.0,9
O1048,2025-07-06 15:43:00,2025-07-06 15:39:00,2025-07-06 16:19:00,2025-07-06 15:52:00,KHI,food,24.89032,67.06809,24.91663741484217,67.09797981920758,2025-07-06 15:39:00,2025-07-06 16:24:00,2025-07-06 16:19:00,13.5,40.7,0,2025-07-06 15:00:00,33.8,0.67,11
O1049,2025-07-06 20:48:00,2025-07-06 20:44:00,2025-07-06 21:07:00,2025-07-06 20:55:00,LHR,parcel,31.56277,74.29497,31.59728421446261,74.33250138681473,2025-07-06 20:44:00,2025-07-06 21:29:00,2025-07-06 21:07:00,7.66,23.6,0,2025-07-06 20:00:00,30.7,0.0,5
O105,2025-07-01 12:34:00,2025-07-01 12:31:00,2025-07-01 12:54:00,2025-07-01 12:43:00,ISB,parcel,33.66256,73.02897,33.68211007084344,73.04751171417962,2025-07-01 12:31:00,2025-07-01 13:16:00,2025-07-01 12:54:00,10.86,23.3,0,2025-07-01 12:00:00,30.8,0.0,10
O1050,2025-07-06 10:37:00,2025-07-06 10:33:00,2025-07-06 10:53:00,2025-07-06 10:42:00,LHR,food,31.5072,74.26853,31.531412650573014,74.29203229014242,2025-07-06 10:33:00,2025-07-06 11:03:00,2025-07-06 10:53:00,10.45,21.0,0,2025-07-06 10:00:00,26.2,1.22,13
O1051,2025-07-06 14:29:00,2025-07-06 14:26:00,2025-07-06 14:57:00,2025-07-06 14:34:00,ISB,food,33.70467,73.05569,33.74360434446875,73.08095753222996,2025-07-06 14:26:00,2025-07-06 15:06:00,2025-07-06 14:57:00,12.94,31.2,0,2025-07-06 14:00:00,25.6,1.34,8
O1052,2025-07-06 19:34:00,2025-07-06 19:33:00,2025-07-06 19:50:00,2025-07-06 19:39:00,LHR,grocery,31.47704,74.25156,31.495463111281165,74.28230125733266,2025-07-06 19:33:00,2025-07-06 20:03:00,2025-07-06 19:50:00,4.56,17.4,0,2025-07-06 19:00:00,19.0,0.0,2
O1053,2025-07-06 17:28:00,2025-07-06 17:27:00,2025-07-06 18:00:00,2025-07-06 17:35:00,KHI,grocery,24.8135,67.04298,24.86239039206967,67.07532064612643,2025-07-06 17:27:00,2025-07-06 18:27:00,2025-07-06 18:00:00,13.44,33.2,0,2025-07-06 17:00:00,37.2,0.0,7
O1054,2025-07-06 09:13:00,2025-07-06 09:12:00,2025-07-06 09:45:00,2025-07-06 09:19:00,LHR,parcel,31.49729,74.34412,31.54127070664771,74.38786673501679,2025-07-06 09:12:00,2025-07-06 09:52:00,2025-07-06 09:45:00,12.05,33.6,0,2025-07-06 09:00:00,24.8,0.0,11
O1055,2025-07-06 21:44:00,2025-07-06 21:41:00,2025-07-06 21:51:00,2025-07-06 21:49:00,LHR,food,31.57947,74.29485,31.604012251754707,74.3446398820545,2025-07-06 21:41:00,2025-07-06 22:11:00,2025-07-06 21:51:00,7.62,10.9,0,2025-07-06 21:00:00,27.9,0.0,8
O1056,2025-07-06 19:34:00,2025-07-06 19:32:00,2025-07-06 20:02:00,2025-07-06 19:39:00,KHI,food,24.8511,67.05837,24.891334934373496,67.07128934958455,2025-07-06 19:32:00,2025-07-06 20:32:00,2025-07-06 20:02:00,7.02,30.5,0,2025-07-06 19:00:00,30.1,0.0,5
O1057,2025-07-06 21:47:00,2025-07-06 21:44:00,2025-07-06 21:59:00,2025-07-06 21:54:00,LHR,food,31.52414,74.34369,31.53418514490108,74.38945951318541,2025-07-06 21:44:00,2025-07-06 22:14:00,2025-07-06 21:59:00,5.36,15.1,0,2025-07-06 21:00:00,27.9,0.0,8
O1058,2025-07-06 12:51:00,2025-07-06 12:47:00,2025-07-06 13:06:00,2025-07-06 13:00:00,LHR,food,31.56806,74.28143,31.58144679257101,74.31001153854098,2025-07-06 12:47:00,2025-07-06 13:47:00,2025-07-06 13:06:00,6.59,19.3,0,2025-07-06 12:00:00,25.3,0.0,14
O1059,2025-07-06 20:48:00,2025-07-06 20:45:00,2025-07-06 21:09:00,2025-07-06 20:53:00,ISB,parcel,33.73077,73.01882,33.749249260831974,73.0424290096609,2025-07-06 20:45:00,2025-07-06 21:25:00,2025-07-06 21:09:00,14.39,24.4,0,2025-07-06 20:00:00,28.2,0.0,9
O106,2025-07-01 10:06:00,2025-07-01 10:03:00,2025-07-01 10:12:00,2025-07-01 10:14:00,LHR,parcel,31.505,74.28909,31.554058261177417,74.33727665427516,2025-07-01 10:03:00,2025-07-01 10:33:00,2025-07-01 10:12:00,4.38,9.8,0,2025-07-01 10:00:00,25.8,0.0,10
O1060,2025-07-06 21:24:00,2025-07-06 21:23:00,2025-07-06 21:54:00,2025-07-06 21:33:00,KHI,parcel,24.9086,67.02789,24.954981022374493,67.07100481518025,2025-07-06 21:23:00,2025-07-06 22:03:00,2025-07-06 21:54:00,13.2,31.8,0,2025-07-06 21:00:00,36.4,0.0,6
O1061,2025-07-06 20:26:00,2025-07-06 20:23:00,2025-07-06 20:31:00,2025-07-06 20:32:00,LHR,food,31.54807,74.25949,31.570824072357464,74.30920257849021,2025-07-06 20:23:00,2025-07-06 21:08:00,2025-07-06 20:31:00,2.83,8.3,0,2025-07-06 20:00:00,30.7,0.0,5
O1062,2025-07-06 17:31:00,2025-07-06 17:30:00,2025-07-06 18:07:00,2025-07-06 17:40:00,ISB,grocery,33.70773,73.06764,33.748269963017265,73.09036827183984,2025-07-06 17:30:00,2025-07-06 18:00:00,2025-07-06 18:07:00,14.37,37.4,1,2025-07-06 17:00:00,30.0,0.0,3
O1063,2025-07-06 12:40:00,2025-07-06 12:39:00,2025-07-06 13:03:00,2025-07-06 12:48:00,KHI,parcel,24.80838,67.14666,24.850003685146017,67.17626445906545,2025-07-06 12:39:00,2025-07-06 13:39:00,2025-07-06 13:03:00,9.29,24.2,0,2025-07-06 12:00:00,42.6,0.0,2
O1064,2025-07-06 19:04:00,2025-07-06 19:00:00,2025-07-06 19:34:00,2025-07-06 19:12:00,LHR,food,31.47861,74.30682,31.521178435935315,74.34754991110586,2025-07-06 19:00:00,2025-07-06 19:45:00,2025-07-06 19:34:00,13.31,34.6,0,2025-07-06 19:00:00,19.0,0.0,2
O1065,2025-07-06 13:21:00,2025-07-06 13:17:00,2025-07-06 13:32:00,2025-07-06 13:26:00,ISB,grocery,33.72907,73.06971,33.77889080913057,73.08025710604419,2025-07-06 13:17:00,2025-07-06 13:57:00,2025-07-06 13:32:00,4.93,15.1,0,2025-07-06 13:00:00,25.4,0.0,11
O1066,2025-07-06 08:10:00,2025-07-06 08:09:00,2025-07-06 08:37:00,2025-07-06 08:16:00,ISB,food,33.73193,73.07849,33.779109616910695,73.11875416620417,2025-07-06 08:09:00,2025-07-06 08:39:00,2025-07-06 08:37:00,12.72,28.9,0,2025-07-06 08:00:00,26.3,0.0,9
O1067,2025-07-06 12:27:00,2025-07-06 12:24:00,2025-07-06 12:29:00,2025-07-06 12:35:00,ISB,parcel,33.67625,73.07456,33.72535670870796,73.10835422005853,2025-07-06 12:24:00,2025-07-06 13:04:00,2025-07-06 12:29:00,1.12,-0.5,0,2025-07-06 12:00:00,32.3,0.0,2
O1068,2025-07-06 18:41:00,2025-07-06 18:37:00,2025-07-06 18:42:00,2025-07-06 18:47:00,LHR,parcel,31.56973,74.26272,31.59556764383256,74.28357842652085,2025-07-06 18:37:00,2025-07-06 19:07:00,2025-07-06 18:42:00,2.73,4.2,0,2025-07-06 18:00:00,31.2,0.0,13
O1069,2025-07-06 21:36:00,2025-07-06 21:35:00,2025-07-06 21:43:00,2025-07-06 21:44:00,ISB,food,33.6759,73.04883,33.712007561573635,73.0636821881826,2025-07-06 21:35:00,2025-07-06 22:15:00,2025-07-06 21:43:00,4.46,8.3,0,2025-07-06 21:00:00,26.9,0.0,2
O107,2025-07-01 13:17:00,2025-07-01 13:16:00,2025-07-01 13:22:00,2025-07-01 13:24:00,ISB,food,33.69322,73.00915,33.733084128185766,73.01965385605088,2025-07-01 13:16:00,2025-07-01 14:16:00,2025-07-01 13:22:00,3.56,6.8,0,2025-07-01 13:00:00,26.1,0.0,4
O1070,2025-07-06 10:55:00,2025-07-06 10:53:00,2025-07-06 11:35:00,2025-07-06 11:00:00,ISB,food,33.67119,73.0059,33.70268872258021,73.02160387514654,2025-07-06 10:53:00,2025-07-06 11:33:00,2025-07-06 11:35:00,13.48,42.9,1,2025-07-06 10:00:00,26.2,0.0,8
O1071,2025-07-06 16:00:00,2025-07-06 15:56:00,2025-07-06 16:06:00,2025-07-06 16:07:00,KHI,parcel,24.86472,67.01734,24.87883280895219,67.05751448796737,2025-07-06 15:56:00,2025-07-06 16:26:00,2025-07-06 16:06:00,1.39,10.3,0,2025-07-06 15:00:00,33.8,0.67,11
O1072,2025-07-06 13:00:00,2025-07-06 12:57:00,2025-07-06 13:05:00,2025-07-06 13:09:00,LHR,grocery,31.59706,74.28781,31.608080953782284,74.3269005863437,2025-07-06 12:57:00,2025-07-06 13:27:00,2025-07-06 13:05:00,2.75,8.6,0,2025-07-06 12:00:00,25.3,0.0,14
O1073,2025-07-06 08:22:00,2025-07-06 08:19:00,2025-07-06 08:24:00,2025-07-06 08:28:00,LHR,parcel,31.53751,74.3485,31.55136002332951,74.36992925714263,2025-07-06 08:19:00,2025-07-06 08:49:00,2025-07-06 08:24:00,2.01,4.8,0,2025-07-06 08:00:00,22.4,0.0,7
O1074,2025-07-06 15:10:00,2025-07-06 15:09:00,2025-07-06 15:47:00,2025-07-06 15:16:00,KHI,food,24.87864,67.06124,24.901027222574054,67.0831246863251,2025-07-06 15:09:00,2025-07-06 15:39:00,2025-07-06 15:47:00,13.39,38.7,1,2025-07-06 15:00:00,33.8,0.67,11
