order_id,event_type,event_ts
O50,assigned,2025-07-01 17:12:00
O50,picked,2025-07-01 17:20:00
O50,delivered,2025-07-01 17:20:00
O51,created,2025-07-01 15:01:00
O51,assigned,2025-07-01 15:03:00
O51,picked,2025-07-01 15:10:00
O51,delivered,2025-07-01 15:21:00
O52,created,2025-07-01 13:17:00
O52,assigned,2025-07-01 13:20:00
O52,picked,2025-07-01 13:27:00
O52,delivered,2025-07-01 13:32:00
O53,created,2025-07-01 18:04:00
O53,assigned,2025-07-01 18:08:00
O53,picked,2025-07-01 18:15:00
O53,delivered,2025-07-01 18:22:00
O54,created,2025-07-01 20:05:00
O54,assigned,2025-07-01 20:08:00
O54,picked,2025-07-01 20:14:00
O54,delivered,2025-07-01 20:16:00
O55,created,2025-07-01 19:37:00
O55,assigned,2025-07-01 19:39:00
O55,picked,2025-07-01 19:45:00
O55,delivered,2025-07-01 19:58:00
O56,created,2025-07-01 10:00:00
O56,assigned,2025-07-01 10:02:00
O56,picked,2025-07-01 10:11:00
O56,delivered,2025-07-01 10:14:00
O57,created,2025-07-01 08:09:00
O57,assigned,2025-07-01 08:13:00
O57,picked,2025-07-01 08:22:00
O57,delivered,2025-07-01 08:36:00
O58,created,2025-07-01 15:57:00
O58,assigned,2025-07-01 16:01:00
O58,picked,2025-07-01 16:09:00
O58,delivered,2025-07-01 16:09:00
O59,created,2025-07-01 12:21:00
O59,assigned,2025-07-01 12:23:00
O59,picked,2025-07-01 12:31:00
O59,delivered,2025-07-01 12:41:00
O60,created,2025-07-01 13:43:00
O60,assigned,2025-07-01 13:45:00
O60,picked,2025-07-01 13:52:00
O60,delivered,2025-07-01 13:58:00
O61,created,2025-07-01 21:38:00
O61,assigned,2025-07-01 21:41:00
O61,picked,2025-07-01 21:47:00
O61,delivered,2025-07-01 21:53:00
O62,created,2025-07-01 18:09:00
O62,assigned,2025-07-01 18:11:00
O62,picked,2025-07-01 18:16:00
O62,delivered,2025-07-01 18:26:00
O63,created,2025-07-01 15:32:00
O63,assigned,2025-07-01 15:34:00
O63,picked,2025-07-01 15:39:00
O63,delivered,2025-07-01 16:05:00
O64,created,2025-07-01 09:45:00
O64,assigned,2025-07-01 09:46:00
O64,picked,2025-07-01 09:52:00
O64,delivered,2025-07-01 10:06:00
O65,created,2025-07-01 08:46:00
O65,assigned,2025-07-01 08:47:00
O65,picked,2025-07-01 08:55:00
O65,delivered,2025-07-01 08:59:00
O66,created,2025-07-01 18:53:00
O66,assigned,2025-07-01 18:54:00
O66,picked,2025-07-01 19:00:00
O66,delivered,2025-07-01 19:04:00
O67,created,2025-07-01 20:02:00
O67,assigned,2025-07-01 20:05:00
O67,picked,2025-07-01 20:11:00
O67,delivered,2025-07-01 20:25:00
O68,created,2025-07-01 20:36:00
O68,assigned,2025-07-01 20:38:00
O68,picked,2025-07-01 20:44:00
O68,delivered,2025-07-01 20:58:00
O69,created,2025-07-01 12:12:00
O69,assigned,2025-07-01 12:14:00
O69,picked,2025-07-01 12:22:00
O69,delivered,2025-07-01 12:31:00
O70,created,2025-07-01 14:39:00
O70,assigned,2025-07-01 14:43:00
O70,picked,2025-07-01 14:52:00
O70,delivered,2025-07-01 14:58:00
O71,created,2025-07-01 14:28:00
O71,assigned,2025-07-01 14:29:00
O71,picked,2025-07-01 14:38:00
O71,delivered,2025-07-01 14:37:00
O72,created,2025-07-01 21:03:00
O72,assigned,2025-07-01 21:07:00
O72,picked,2025-07-01 21:15:00
O72,delivered,2025-07-01 21:27:00
O73,created,2025-07-01 12:53:00
O73,assigned,2025-07-01 12:57:00
O73,picked,2025-07-01 13:04:00
O73,delivered,2025-07-01 13:19:00
O74,created,2025-07-01 17:13:00
O74,assigned,2025-07-01 17:16:00
O74,picked,2025-07-01 17:21:00
O74,delivered,2025-07-01 17:30:00
O75,created,2025-07-01 13:14:00
O75,assigned,2025-07-01 13:17:00
O75,picked,2025-07-01 13:24:00
O75,delivered,2025-07-01 13:19:00
O76,created,2025-07-01 11:24:00
O76,assigned,2025-07-01 11:25:00
O76,picked,2025-07-01 11:34:00
O76,delivered,2025-07-01 11:42:00
O77,created,2025-07-01 09:40:00
O77,assigned,2025-07-01 09:41:00
O77,picked,2025-07-01 09:46:00
O77,delivered,2025-07-01 09:58:00
O78,created,2025-07-01 11:04:00
O78,assigned,2025-07-01 11:05:00
O78,picked,2025-07-01 11:12:00
O78,delivered,2025-07-01 11:26:00
O79,created,2025-07-01 08:37:00
O79,assigned,2025-07-01 08:41:00
O79,picked,2025-07-01 08:46:00
O79,delivered,2025-07-01 08:57:00
O80,created,2025-07-01 15:54:00
O80,assigned,2025-07-01 15:58:00
O80,picked,2025-07-01 16:05:00
O80,delivered,2025-07-01 16:42:00
O81,created,2025-07-01 16:46:00
O81,assigned,2025-07-01 16:49:00
O81,picked,2025-07-01 16:57:00
O81,delivered,2025-07-01 17:10:00
O82,created,2025-07-01 08:21:00
O82,assigned,2025-07-01 08:23:00
O82,picked,2025-07-01 08:32:00
O82,delivered,2025-07-01 08:52:00
O83,created,2025-07-01 08:49:00
O83,assigned,2025-07-01 08:52:00
O83,picked,2025-07-01 09:01:00
O83,delivered,2025-07-01 09:23:00
O84,created,2025-07-01 20:43:00
O84,assigned,2025-07-01 20:45:00
O84,picked,2025-07-01 20:51:00
O84,delivered,2025-07-01 20:52:00
O85,created,2025-07-01 12:57:00
O85,assigned,2025-07-01 12:59:00
O85,picked,2025-07-01 13:06:00
O85,delivered,2025-07-01 13:09:00
O86,created,2025-07-01 14:13:00
O86,assigned,2025-07-01 14:16:00
O86,picked,2025-07-01 14:24:00
O86,delivered,2025-07-01 14:19:00
O87,created,2025-07-01 08:12:00
O87,assigned,2025-07-01 08:13:00
O87,picked,2025-07-01 08:22:00
O87,delivered,2025-07-01 08:43:00
O88,created,2025-07-01 16:00:00
O88,assigned,2025-07-01 16:04:00
O88,picked,2025-07-01 16:12:00
O88,delivered,2025-07-01 16:29:00
O89,created,2025-07-01 09:46:00
O89,assigned,2025-07-01 09:47:00
O89,picked,2025-07-01 09:54:00
O89,delivered,2025-07-01 10:00:00
O90,created,2025-07-01 16:39:00
O90,assigned,2025-07-01 16:42:00
O90,picked,2025-07-01 16:50:00
O90,delivered,2025-07-01 16:51:00
O91,created,2025-07-01 14:05:00
O91,assigned,2025-07-01 14:06:00
O91,picked,2025-07-01 14:11:00
O91,delivered,2025-07-01 14:10:00
O92,created,2025-07-01 14:53:00
O92,assigned,2025-07-01 14:54:00
O92,picked,2025-07-01 15:01:00
O92,delivered,2025-07-01 15:03:00
O93,created,2025-07-01 14:17:00
O93,assigned,2025-07-01 14:20:00
O93,picked,2025-07-01 14:25:00
O93,delivered,2025-07-01 14:33:00
O94,created,2025-07-01 21:11:00
O94,assigned,2025-07-01 21:15:00
O94,picked,2025-07-01 21:24:00
O94,delivered,2025-07-01 21:45:00
O95,created,2025-07-01 15:10:00
O95,assigned,2025-07-01 15:11:00
O95,picked,2025-07-01 15:16:00
O95,delivered,2025-07-01 15:19:00
O96,created,2025-07-01 20:34:00
O96,assigned,2025-07-01 20:35:00
O96,picked,2025-07-01 20:44:00
O96,delivered,2025-07-01 20:59:00
O97,created,2025-07-01 21:38:00
O97,assigned,2025-07-01 21:40:00
O97,picked,2025-07-01 21:47:00
O97,delivered,2025-07-01 21:56:00
O98,created,2025-07-01 15:53:00
O98,assigned,2025-07-01 15:57:00
O98,picked,2025-07-01 16:04:00
O98,delivered,2025-07-01 16:25:00
O99,created,2025-07-01 10:17:00
O99,assigned,2025-07-01 10:21:00
O99,picked,2025-07-01 10:29:00
O99,delivered,2025-07-01 10:35:00
O100,created,2025-07-01 21:21:00
O100,assigned,2025-07-01 21:24:00
O100,picked,2025-07-01 21:32:00
O100,delivered,2025-07-01 21:32:00
O101,created,2025-07-01 17:04:00
O101,assigned,2025-07-01 17:06:00
O101,picked,2025-07-01 17:14:00
O101,delivered,2025-07-01 17:25:00
O102,created,2025-07-01 17:16:00
O102,assigned,2025-07-01 17:20:00
O102,picked,2025-07-01 17:27:00
O102,delivered,2025-07-01 17:35:00
O103,created,2025-07-01 17:50:00
O103,assigned,2025-07-01 17:54:00
O103,picked,2025-07-01 18:00:00
O103,delivered,2025-07-01 18:04:00
O104,created,2025-07-01 10:02:00
O104,assigned,2025-07-01 10:03:00
O104,picked,2025-07-01 10:09:00
O104,delivered,2025-07-01 10:07:00
O105,created,2025-07-01 12:31:00
O105,assigned,2025-07-01 12:34:00
O105,picked,2025-07-01 12:43:00
O105,delivered,2025-07-01 12:54:00
O106,created,2025-07-01 10:03:00
O106,assigned,2025-07-01 10:06:00
O106,picked,2025-07-01 10:14:00
O106,delivered,2025-07-01 10:12:00
O107,created,2025-07-01 13:16:00
O107,assigned,2025-07-01 13:17:00
O107,picked,2025-07-01 13:24:00
O107,delivered,2025-07-01 13:22:00
O108,created,2025-07-01 19:42:00
O108,assigned,2025-07-01 19:45:00
O108,picked,2025-07-01 19:52:00
O108,delivered,2025-07-01 20:11:00
O109,created,2025-07-01 20:40:00
O109,assigned,2025-07-01 20:41:00
O109,picked,2025-07-01 20:49:00
O109,delivered,2025-07-01 20:46:00
O110,created,2025-07-01 20:34:00
O110,assigned,2025-07-01 20:37:00
O110,picked,2025-07-01 20:46:00
O110,delivered,2025-07-01 20:55:00
O111,created,2025-07-01 18:44:00
O111,assigned,2025-07-01 18:46:00
O111,picked,2025-07-01 18:51:00
O111,delivered,2025-07-01 18:56:00
O112,created,2025-07-01 19:06:00
O112,assigned,2025-07-01 19:09:00
O112,picked,2025-07-01 19:16:00
O112,delivered,2025-07-01 19:18:00
O113,created,2025-07-01 19:48:00
O113,assigned,2025-07-01 19:49:00
O113,picked,2025-07-01 19:54:00
O113,delivered,2025-07-01 20:30:00
O114,created,2025-07-01 13:53:00
O114,assigned,2025-07-01 13:55:00
O114,picked,2025-07-01 14:01:00
O114,delivered,2025-07-01 13:58:00
O115,created,2025-07-01 13:34:00
O115,assigned,2025-07-01 13:36:00
O115,picked,2025-07-01 13:45:00
O115,delivered,2025-07-01 13:48:00
O116,created,2025-07-01 20:19:00
O116,assigned,2025-07-01 20:21:00
O116,picked,2025-07-01 20:30:00
O116,delivered,2025-07-01 20:44:00
O117,created,2025-07-01 10:08:00
O117,assigned,2025-07-01 10:10:00
O117,picked,2025-07-01 10:19:00
O117,delivered,2025-07-01 10:35:00
O118,created,2025-07-01 20:51:00
O118,assigned,2025-07-01 20:53:00
O118,picked,2025-07-01 20:59:00
O118,delivered,2025-07-01 21:11:00
O119,created,2025-07-01 10:34:00
O119,assigned,2025-07-01 10:37:00
O119,picked,2025-07-01 10:42:00
O119,delivered,2025-07-01 10:49:00
O120,created,2025-07-01 09:43:00
O120,assigned,2025-07-01 09:45:00
O120,picked,2025-07-01 09:53:00
O120,delivered,2025-07-01 10:22:00
O121,created,2025-07-01 12:48:00
O121,assigned,2025-07-01 12:52:00
O121,picked,2025-07-01 12:57:00
O121,delivered,2025-07-01 13:02:00
O122,created,2025-07-01 17:37:00
O122,assigned,2025-07-01 17:40:00
O122,picked,2025-07-01 17:47:00
O122,delivered,2025-07-01 17:51:00
O123,created,2025-07-01 20:55:00
O123,assigned,2025-07-01 20:58:00
O123,picked,2025-07-01 21:07:00
O123,delivered,2025-07-01 21:24:00
O124,created,2025-07-01 13:45:00
O124,assigned,2025-07-01 13:48:00
O124,picked,2025-07-01 13:57:00
O124,delivered,2025-07-01 14:11:00
O125,created,2025-07-01 15:57:00
O125,assigned,2025-07-01 15:59:00
O125,picked,2025-07-01 16:04:00
O125,delivered,2025-07-01 16:11:00
O126,created,2025-07-01 13:15:00
O126,assigned,2025-07-01 13:18:00
O126,picked,2025-07-01 13:23:00
O126,delivered,2025-07-01 13:46:00
O127,created,2025-07-01 21:52:00
O127,assigned,2025-07-01 21:53:00
O127,picked,2025-07-01 21:58:00
O127,delivered,2025-07-01 21:58:00
O128,created,2025-07-01 18:27:00
O128,assigned,2025-07-01 18:30:00
O128,picked,2025-07-01 18:36:00
O128,delivered,2025-07-01 19:08:00
O129,created,2025-07-01 12:26:00
O129,assigned,2025-07-01 12:28:00
O129,picked,2025-07-01 12:34:00
O129,delivered,2025-07-01 13:02:00
O130,created,2025-07-01 13:52:00
O130,assigned,2025-07-01 13:56:00
O130,picked,2025-07-01 14:05:00
O130,delivered,2025-07-01 14:22:00
O131,created,2025-07-01 18:00:00
O131,assigned,2025-07-01 18:01:00
O131,picked,2025-07-01 18:06:00
O131,delivered,2025-07-01 18:08:00
O132,created,2025-07-01 19:44:00
O132,assigned,2025-07-01 19:47:00
O132,picked,2025-07-01 19:55:00
O132,delivered,2025-07-01 20:25:00
O133,created,2025-07-01 16:33:00
O133,assigned,2025-07-01 16:36:00
O133,picked,2025-07-01 16:42:00
O133,delivered,2025-07-01 16:51:00
O134,created,2025-07-01 09:33:00
O134,assigned,2025-07-01 09:36:00
O134,picked,2025-07-01 09:43:00
O134,delivered,2025-07-01 09:52:00
O135,created,2025-07-01 09:40:00
O135,assigned,2025-07-01 09:44:00
O135,picked,2025-07-01 09:52:00
O135,delivered,2025-07-01 09:56:00
O136,created,2025-07-01 19:55:00
O136,assigned,2025-07-01 19:58:00
O136,picked,2025-07-01 20:03:00
O136,delivered,2025-07-01 20:00:00
O137,created,2025-07-01 15:42:00
O137,assigned,2025-07-01 15:43:00
O137,picked,2025-07-01 15:52:00
O137,delivered,2025-07-01 16:11:00
O138,created,2025-07-01 16:17:00
O138,assigned,2025-07-01 16:20:00
O138,picked,2025-07-01 16:29:00
O138,delivered,2025-07-01 16:41:00
O139,created,2025-07-01 16:30:00
O139,assigned,2025-07-01 16:31:00
O139,picked,2025-07-01 16:37:00
O139,delivered,2025-07-01 17:07:00
O140,created,2025-07-01 14:57:00
O140,assigned,2025-07-01 15:00:00
O140,picked,2025-07-01 15:07:00
O140,delivered,2025-07-01 15:11:00
O141,created,2025-07-01 14:11:00
O141,assigned,2025-07-01 14:12:00
O141,picked,2025-07-01 14:18:00
O141,delivered,2025-07-01 14:24:00
O142,created,2025-07-01 16:48:00
O142,assigned,2025-07-01 16:49:00
O142,picked,2025-07-01 16:58:00
O142,delivered,2025-07-01 17:03:00
O143,created,2025-07-01 20:14:00
O143,assigned,2025-07-01 20:16:00
O143,picked,2025-07-01 20:22:00
O143,delivered,2025-07-01 20:27:00
O144,created,2025-07-01 10:49:00
O144,assigned,2025-07-01 10:51:00
O144,picked,2025-07-01 10:56:00
O144,delivered,2025-07-01 11:18:00
O145,created,2025-07-01 11:36:00
O145,assigned,2025-07-01 11:38:00
O145,picked,2025-07-01 11:46:00
O145,delivered,2025-07-01 11:45:00
O146,created,2025-07-01 08:02:00
O146,assigned,2025-07-01 08:03:00
O146,picked,2025-07-01 08:12:00
O146,delivered,2025-07-01 08:13:00
O147,created,2025-07-01 16:50:00
O147,assigned,2025-07-01 16:54:00
O147,picked,2025-07-01 17:01:00
O147,delivered,2025-07-01 16:55:00
O148,created,2025-07-01 19:46:00
O148,assigned,2025-07-01 19:48:00
O148,picked,2025-07-01 19:54:00
O148,delivered,2025-07-01 20:36:00
O149,created,2025-07-01 12:29:00
O149,assigned,2025-07-01 12:31:00
O149,picked,2025-07-01 12:38:00
O149,delivered,2025-07-01 12:34:00
O150,created,2025-07-01 18:59:00
O150,assigned,2025-07-01 19:01:00
O150,picked,2025-07-01 19:08:00
O150,delivered,2025-07-01 19:27:00
O151,created,2025-07-01 21:43:00
O151,assigned,2025-07-01 21:46:00
O151,picked,2025-07-01 21:52:00
O151,delivered,2025-07-01 22:16:00
O152,created,2025-07-01 16:50:00
O152,assigned,2025-07-01 16:53:00
O152,picked,2025-07-01 17:00:00
O152,delivered,2025-07-01 17:24:00
O153,created,2025-07-01 09:41:00
O153,assigned,2025-07-01 09:45:00
O153,picked,2025-07-01 09:50:00
O153,delivered,2025-07-01 10:22:00
O154,created,2025-07-01 14:25:00
O154,assigned,2025-07-01 14:26:00
O154,picked,2025-07-01 14:35:00
O154,delivered,2025-07-01 14:30:00
O155,created,2025-07-01 18:22:00
O155,assigned,2025-07-01 18:24:00
O155,picked,2025-07-01 18:30:00
O155,delivered,2025-07-01 18:27:00
O156,created,2025-07-01 08:48:00
O156,assigned,2025-07-01 08:51:00
O156,picked,2025-07-01 08:56:00
O156,delivered,2025-07-01 09:21:00
O157,created,2025-07-01 13:13:00
O157,assigned,2025-07-01 13:15:00
O157,picked,2025-07-01 13:21:00
O157,delivered,2025-07-01 13:27:00
O158,created,2025-07-01 14:39:00
O158,assigned,2025-07-01 14:40:00
O158,picked,2025-07-01 14:47:00
O158,delivered,2025-07-01 14:44:00
O159,created,2025-07-01 17:33:00
O159,assigned,2025-07-01 17:36:00
O159,picked,2025-07-01 17:42:00
O159,delivered,2025-07-01 17:52:00
O160,created,2025-07-01 10:17:00
O160,assigned,2025-07-01 10:20:00
O160,picked,2025-07-01 10:25:00
O160,delivered,2025-07-01 10:50:00
O161,created,2025-07-01 09:11:00
O161,assigned,2025-07-01 09:13:00
O161,picked,2025-07-01 09:22:00
O161,delivered,2025-07-01 09:16:00
O162,created,2025-07-01 14:57:00
O162,assigned,2025-07-01 15:01:00
O162,picked,2025-07-01 15:07:00
O162,delivered,2025-07-01 15:02:00
O163,created,2025-07-01 10:01:00
O163,assigned,2025-07-01 10:03:00
O163,picked,2025-07-01 10:10:00
O163,delivered,2025-07-01 10:10:00
O164,created,2025-07-01 08:52:00
O164,assigned,2025-07-01 08:55:00
O164,picked,2025-07-01 09:04:00
O164,delivered,2025-07-01 09:12:00
O165,created,2025-07-01 19:35:00
O165,assigned,2025-07-01 19:36:00
O165,picked,2025-07-01 19:43:00
O165,delivered,2025-07-01 19:40:00
O166,created,2025-07-01 15:45:00
O166,assigned,2025-07-01 15:48:00
O166,picked,2025-07-01 15:57:00
O166,delivered,2025-07-01 16:14:00
O167,created,2025-07-01 21:45:00
O167,assigned,2025-07-01 21:49:00
O167,picked,2025-07-01 21:57:00
O167,delivered,2025-07-01 21:53:00
O168,created,2025-07-01 10:01:00
O168,assigned,2025-07-01 10:04:00
O168,picked,2025-07-01 10:13:00
O168,delivered,2025-07-01 10:17:00
O169,created,2025-07-01 13:40:00
O169,assigned,2025-07-01 13:41:00
O169,picked,2025-07-01 13:46:00
O169,delivered,2025-07-01 13:59:00
O170,created,2025-07-01 10:34:00
O170,assigned,2025-07-01 10:35:00
O170,picked,2025-07-01 10:40:00
O170,delivered,2025-07-01 11:02:00
O171,created,2025-07-01 15:39:00
O171,assigned,2025-07-01 15:43:00
O171,picked,2025-07-01 15:49:00
O171,delivered,2025-07-01 16:00:00
O172,created,2025-07-01 17:38:00
O172,assigned,2025-07-01 17:42:00
O172,picked,2025-07-01 17:50:00
O172,delivered,2025-07-01 18:18:00
O173,created,2025-07-01 18:31:00
O173,assigned,2025-07-01 18:35:00
O173,picked,2025-07-01 18:40:00
O173,delivered,2025-07-01 19:04:00
O174,created,2025-07-01 08:17:00
O174,assigned,2025-07-01 08:21:00
O174,picked,2025-07-01 08:28:00
O174,delivered,2025-07-01 08:40:00
O175,created,2025-07-01 08:32:00
O175,assigned,2025-07-01 08:33:00
O175,picked,2025-07-01 08:38:00
O175,delivered,2025-07-01 09:00:00
O176,created,2025-07-01 12:38:00
O176,assigned,2025-07-01 12:39:00
O176,picked,2025-07-01 12:45:00
O176,delivered,2025-07-01 12:51:00
O177,created,2025-07-01 13:34:00
O177,assigned,2025-07-01 13:36:00
O177,picked,2025-07-01 13:44:00
O177,delivered,2025-07-01 14:05:00
O178,created,2025-07-01 17:29:00
O178,assigned,2025-07-01 17:31:00
O178,picked,2025-07-01 17:39:00
O178,delivered,2025-07-01 17:41:00
O179,created,2025-07-01 16:05:00
O179,assigned,2025-07-01 16:09:00
O179,picked,2025-07-01 16:14:00
O179,delivered,2025-07-01 16:21:00
O180,created,2025-07-01 13:38:00
O180,assigned,2025-07-01 13:40:00
O180,picked,2025-07-01 13:49:00
O180,delivered,2025-07-01 13:46:00
O181,created,2025-07-01 17:30:00
O181,assigned,2025-07-01 17:33:00
O181,picked,2025-07-01 17:42:00
O181,delivered,2025-07-01 17:44:00
O182,created,2025-07-01 15:44:00
